harpnumber,SHARP_FILE,BITMAP,goes_class
8,hmi.sharp_cea_720s.8.20100506_090000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_090000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_100000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_100000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_110000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_110000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_120000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_120000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_130000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_130000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_140000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_140000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_150000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_150000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_160000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_160000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_170000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_170000_TAI.bitmap.fits,M1.2
49,hmi.sharp_cea_720s.49.20100613_060000_TAI.magnetogram.fits,hmi.sharp_cea_720s.49.20100613_060000_TAI.bitmap.fits,M1.0
49,hmi.sharp_cea_720s.49.20100613_070000_TAI.magnetogram.fits,hmi.sharp_cea_720s.49.20100613_070000_TAI.bitmap.fits,M1.0
49,hmi.sharp_cea_720s.49.20100613_080000_TAI.magnetogram.fits,hmi.sharp_cea_720s.49.20100613_080000_TAI.bitmap.fits,M1.0
49,hmi.sharp_cea_720s.49.20100613_090000_TAI.magnetogram.fits,hmi.sharp_cea_720s.49.20100613_090000_TAI.bitmap.fits,M1.0
49,hmi.sharp_cea_720s.49.20100613_100000_TAI.magnetogram.fits,hmi.sharp_cea_720s.49.20100613_100000_TAI.bitmap.fits,M1.0
49,hmi.sharp_cea_720s.49.20100613_110000_TAI.magnetogram.fits,hmi.sharp_cea_720s.49.20100613_110000_TAI.bitmap.fits,M1.0
49,hmi.sharp_cea_720s.49.20100613_120000_TAI.magnetogram.fits,hmi.sharp_cea_720s.49.20100613_120000_TAI.bitmap.fits,M1.0
49,hmi.sharp_cea_720s.49.20100613_130000_TAI.magnetogram.fits,hmi.sharp_cea_720s.49.20100613_130000_TAI.bitmap.fits,M1.0
54,hmi.sharp_cea_720s.54.20100612_010000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_010000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_020000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_020000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_030000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_030000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_040000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_040000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_050000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_050000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_060000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_060000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_070000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_070000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_080000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_080000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_090000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_090000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_100000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_100000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_110000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_110000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_120000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_120000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_130000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_130000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_140000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_140000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_150000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_150000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_160000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_160000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_170000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_170000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_180000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_180000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_190000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_190000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_200000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_200000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_210000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_210000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_220000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_220000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100612_230000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100612_230000_TAI.bitmap.fits,M2.0
54,hmi.sharp_cea_720s.54.20100613_000000_TAI.magnetogram.fits,hmi.sharp_cea_720s.54.20100613_000000_TAI.bitmap.fits,M2.0
115,hmi.sharp_cea_720s.115.20100807_180000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100807_180000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100807_190000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100807_190000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100807_200000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100807_200000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100807_210000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100807_210000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100807_220000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100807_220000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100807_230000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100807_230000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_000000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_000000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_010000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_010000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_020000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_020000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_030000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_030000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_040000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_040000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_050000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_050000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_060000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_060000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_070000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_070000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_080000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_080000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_090000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_090000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_100000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_100000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_110000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_110000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_120000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_120000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_130000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_130000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_140000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_140000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_150000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_150000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_160000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_160000_TAI.bitmap.fits,M1.0
115,hmi.sharp_cea_720s.115.20100808_170000_TAI.magnetogram.fits,hmi.sharp_cea_720s.115.20100808_170000_TAI.bitmap.fits,M1.0
211,hmi.sharp_cea_720s.211.20101016_200000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101016_200000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101016_210000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101016_210000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101016_220000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101016_220000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101016_230000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101016_230000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_000000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_000000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_010000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_010000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_020000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_020000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_030000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_030000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_040000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_040000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_050000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_050000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_060000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_060000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_070000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_070000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_080000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_080000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_090000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_090000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_100000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_100000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_110000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_110000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_120000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_120000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_130000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_130000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_140000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_140000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_150000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_150000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_160000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_160000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_170000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_170000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_180000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_180000_TAI.bitmap.fits,M2.9
211,hmi.sharp_cea_720s.211.20101017_190000_TAI.magnetogram.fits,hmi.sharp_cea_720s.211.20101017_190000_TAI.bitmap.fits,M2.9
245,hmi.sharp_cea_720s.245.20101105_000000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_000000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_010000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_010000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_020000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_020000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_030000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_030000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_040000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_040000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_050000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_050000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_060000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_060000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_070000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_070000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_080000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_080000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_090000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_090000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_100000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_100000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_110000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_110000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_120000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_120000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_130000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_130000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_140000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_140000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_150000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_150000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_160000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_160000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_170000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_170000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_180000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_180000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_190000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_190000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_200000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_200000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_210000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_210000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_220000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_220000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101105_230000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101105_230000_TAI.bitmap.fits,M1.6
245,hmi.sharp_cea_720s.245.20101106_000000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_000000_TAI.bitmap.fits,M1.0
245,hmi.sharp_cea_720s.245.20101106_010000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_010000_TAI.bitmap.fits,M1.0
245,hmi.sharp_cea_720s.245.20101106_020000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_020000_TAI.bitmap.fits,M1.0
245,hmi.sharp_cea_720s.245.20101106_030000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_030000_TAI.bitmap.fits,M1.0
245,hmi.sharp_cea_720s.245.20101106_040000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_040000_TAI.bitmap.fits,M1.0
245,hmi.sharp_cea_720s.245.20101106_050000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_050000_TAI.bitmap.fits,M1.0
245,hmi.sharp_cea_720s.245.20101106_060000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_060000_TAI.bitmap.fits,M1.0
245,hmi.sharp_cea_720s.245.20101106_080000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_080000_TAI.bitmap.fits,M1.0
245,hmi.sharp_cea_720s.245.20101106_090000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_090000_TAI.bitmap.fits,M1.0
245,hmi.sharp_cea_720s.245.20101106_100000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_100000_TAI.bitmap.fits,M1.0
245,hmi.sharp_cea_720s.245.20101106_110000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_110000_TAI.bitmap.fits,M1.0
245,hmi.sharp_cea_720s.245.20101106_120000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_120000_TAI.bitmap.fits,M1.0
245,hmi.sharp_cea_720s.245.20101106_160000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_160000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101106_170000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_170000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101106_180000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_180000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101106_190000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_190000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101106_200000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_200000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101106_210000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_210000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101106_220000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_220000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101106_230000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101106_230000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_000000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_000000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_010000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_010000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_020000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_020000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_030000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_030000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_040000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_040000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_050000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_050000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_060000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_060000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_070000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_070000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_080000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_080000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_090000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_090000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_100000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_100000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_110000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_110000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_120000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_120000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_130000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_130000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_140000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_140000_TAI.bitmap.fits,M5.4
245,hmi.sharp_cea_720s.245.20101107_150000_TAI.magnetogram.fits,hmi.sharp_cea_720s.245.20101107_150000_TAI.bitmap.fits,M5.4
362,hmi.sharp_cea_720s.362.20110209_020000_TAI.magnetogram.fits,hmi.sharp_cea_720s.362.20110209_020000_TAI.bitmap.fits,M1.9
362,hmi.sharp_cea_720s.362.20110209_030000_TAI.magnetogram.fits,hmi.sharp_cea_720s.362.20110209_030000_TAI.bitmap.fits,M1.9
362,hmi.sharp_cea_720s.362.20110209_040000_TAI.magnetogram.fits,hmi.sharp_cea_720s.362.20110209_040000_TAI.bitmap.fits,M1.9
362,hmi.sharp_cea_720s.362.20110209_050000_TAI.magnetogram.fits,hmi.sharp_cea_720s.362.20110209_050000_TAI.bitmap.fits,M1.9
362,hmi.sharp_cea_720s.362.20110209_060000_TAI.magnetogram.fits,hmi.sharp_cea_720s.362.20110209_060000_TAI.bitmap.fits,M1.9
362,hmi.sharp_cea_720s.362.20110209_070000_TAI.magnetogram.fits,hmi.sharp_cea_720s.362.20110209_070000_TAI.bitmap.fits,M1.9
362,hmi.sharp_cea_720s.362.20110209_080000_TAI.magnetogram.fits,hmi.sharp_cea_720s.362.20110209_080000_TAI.bitmap.fits,M1.9
362,hmi.sharp_cea_720s.362.20110209_090000_TAI.magnetogram.fits,hmi.sharp_cea_720s.362.20110209_090000_TAI.bitmap.fits,M1.9
362,hmi.sharp_cea_720s.362.20110209_100000_TAI.magnetogram.fits,hmi.sharp_cea_720s.362.20110209_100000_TAI.bitmap.fits,M1.9
362,hmi.sharp_cea_720s.362.20110209_110000_TAI.magnetogram.fits,hmi.sharp_cea_720s.362.20110209_110000_TAI.bitmap.fits,M1.9
362,hmi.sharp_cea_720s.362.20110209_120000_TAI.magnetogram.fits,hmi.sharp_cea_720s.362.20110209_120000_TAI.bitmap.fits,M1.9
362,hmi.sharp_cea_720s.362.20110209_130000_TAI.magnetogram.fits,hmi.sharp_cea_720s.362.20110209_130000_TAI.bitmap.fits,M1.9
362,hmi.sharp_cea_720s.362.20110209_140000_TAI.magnetogram.fits,hmi.sharp_cea_720s.362.20110209_140000_TAI.bitmap.fits,M1.9
362,hmi.sharp_cea_720s.362.20110209_150000_TAI.magnetogram.fits,hmi.sharp_cea_720s.362.20110209_150000_TAI.bitmap.fits,M1.9
